location_name,longitude,latitude,acres,year,species_name,stagename,numberstocked
LAKE ALMA,-82.517937,39.144467,68,1983,Channel Catfish,Fingerlings,7300
LAKE ALMA,-82.517937,39.144467,68,1983,Channel Catfish,Fingerlings,7300
LAKE ALMA,-82.517937,39.144467,68,1987,Channel Catfish,Fingerlings,7400
LAKE ALMA,-82.517937,39.144467,68,1988,Channel Catfish,Yearling,1826
LAKE ALMA,-82.517937,39.144467,68,1988,Channel Catfish,Yearling,1265
LAKE ERIE,NULL,NULL,N/A,1982,Sauger,Fingerlings,2350
ARCHBOLD RESERVOIR #2,-84.289382,41.518929,43,1988,Channel Catfish,Yearling,1191
LAKE HOPE,-82.356263,39.320068,134,1983,Channel Catfish,Fingerlings,5936
LAKE HOPE,-82.356263,39.320068,134,1987,Channel Catfish,Fingerlings,12700
LAKE HOPE,-82.356263,39.320068,134,1988,Channel Catfish,Yearling,3175
LAKE HOPE,-82.356263,39.320068,134,1988,Channel Catfish,Yearling,1438
LAKE HOPE,-82.356263,39.320068,134,1989,Channel Catfish,Fingerlings,3630
LAKE HOPE,-82.356263,39.320068,134,1989,Channel Catfish,Fingerlings,2995
LAKE LECOMTE,-83.447149,41.115821,137,1984,Channel Catfish,Fingerlings,6400
LAKE LECOMTE,-83.447149,41.115821,137,1987,Channel Catfish,Fingerlings,16000
LAKE LECOMTE,-83.447149,41.115821,137,1989,Channel Catfish,Fingerlings,6187
ARCHBOLD RESERVOIR #2,-84.289382,41.518929,43,1989,Channel Catfish,Adv. Fingerlings,2524
LAKE LECOMTE,-83.447149,41.115821,137,1983,Walleye,Fingerlings,6400
LAKE LECOMTE,-83.447149,41.115821,137,1985,Walleye,Fingerlings,5067
LAKE LECOMTE,-83.447149,41.115821,137,1987,Walleye,Fingerlings,6400
LAKE LECOMTE,-83.447149,41.115821,137,1989,Walleye,Fingerlings,6400
LAKE LECOMTE,-83.447149,41.115821,137,1984,Yellow Perch,Fingerlings,15000
LAKE LA SU AN,-84.695042,41.680192,79,1984,Bluegill,Fingerlings,2000
LAKE LA SU AN,-84.695042,41.680192,79,1984,Largemouth Bass,Fingerlings,210
LAKE LA SU AN,-84.695042,41.680192,79,1984,Largemouth Bass,Fingerlings,75
ARCHBOLD RESERVOIR #2,-84.289382,41.518929,43,1983,Walleye,Fry,45000
LAKE LOGAN,-82.450711,39.534263,333,1983,Channel Catfish,Fingerlings,20160
LAKE LOGAN,-82.450711,39.534263,333,1987,Channel Catfish,Fingerlings,34100
LAKE LOGAN,-82.450711,39.534263,333,1988,Channel Catfish,Yearling,5000
LAKE LOGAN,-82.450711,39.534263,333,1988,Channel Catfish,Yearling,2515
LAKE LOGAN,-82.450711,39.534263,333,1982,Northern Pike,Fingerlings,4000
LAKE LOGAN,-82.450711,39.534263,333,1983,Northern Pike,Fingerlings,4026
LAKE LOGAN,-82.450711,39.534263,333,1986,Northern Pike,Fingerlings,4000
LAKE LOGAN,-82.450711,39.534263,333,1984,Saugeye,Fingerlings,21328
ARCHBOLD RESERVOIR #2,-84.289382,41.518929,43,1983,Walleye,Fry,55000
LAKE MEDINA,-81.822079,41.139254,103,1983,Walleye,Fingerlings,1000
LAKE MEDINA,-81.822079,41.139254,103,1982,Smallmouth Bass,Fingerlings,6320
LAKE MEDINA,-81.822079,41.139254,103,1983,Smallmouth Bass,Fingerlings,10000
LAKE MILTON,-80.977591,41.127257,1694,1988,Channel Catfish,Fingerlings,20636
LAKE MILTON,-80.977591,41.127257,1694,1989,Channel Catfish,Fingerlings,49480
LAKE MILTON,-80.977591,41.127257,1694,1989,Channel Catfish,Yearling,40320
LAKE MILTON,-80.977591,41.127257,1694,1985,Walleye,Fry,1000000
LAKE MILTON,-80.977591,41.127257,1694,1988,Walleye,Fry,1500000
LAKE MILTON,-80.977591,41.127257,1694,1989,Walleye,Fry,601400
PAULDING RESERVOIR,-84.591437,41.124255,67,1998,Saugeye,Fingerlings,6688
NORWALK RESERVOIR #1,-82.589899,41.238347,32,1998,Channel Catfish,Yearling,746
RESTHAVEN POND #08,-82.830743,41.394242,122,2001,Channel Catfish,Yearling,3006
BELLEVUE RESERVOIR #5,-82.776295,41.211745,85,2001,Channel Catfish,Yearling,2294
BEAVER CREEK RESERVOIR,-83.020030,41.241359,110,2001,Channel Catfish,Yearling,3005
RACCOON CREEK RESERVOIR,-82.976303,41.287540,36,2001,Channel Catfish,Yearling,858
NORWALK RESERVOIR #2,-82.582676,41.233947,52,1998,Channel Catfish,Yearling,1122
ALDRICH POND,-83.253565,41.447729,34,2001,Channel Catfish,Yearling,1280
DARKE WA PONDS,NULL,NULL,N/A,2001,Channel Catfish,Yearling,752
LAKE LORAMIE,-84.362362,40.363606,869,2001,Channel Catfish,Yearling,164
TRANQUILITY  WILDLIFE AREA PONDS,NULL,NULL,N/A,2001,Channel Catfish,Yearling,210
ADAMS LAKE,-83.516026,38.813935,37,2001,Channel Catfish,Yearling,4629
OLDAKER PONDS,NULL,NULL,N/A,2001,Channel Catfish,Yearling,105
INDIAN CREEK WA PONDS,NULL,NULL,N/A,2001,Channel Catfish,Yearling,420
FALLSVILLE WA PONDS,NULL,NULL,N/A,2001,Channel Catfish,Yearling,172
LOST CREEK RESERVOIR,-84.067431,40.744618,131,2001,Channel Catfish,Yearling,1585
OXBOW LAKE,-84.438405,41.346497,38,2001,Channel Catfish,Yearling,1013
RESTHAVEN POND #10,-82.830743,41.394242,216,1998,Channel Catfish,Yearling,3023
METZGER RESERVOIR,-84.055351,40.741409,157,2001,Channel Catfish,Yearling,2003
LAKE LORAMIE,-84.362362,40.363606,869,2001,Channel Catfish,Yearling,797
WASHINGTON COURT HOUSE UPGROUND,-83.459111,39.551870,36,2002,Yellow Perch,Fingerlings,568
WOLF CREEK  WILDLIFE AREA,NULL,NULL,N/A,2002,Largemouth Bass,Fingerlings,183
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2002,Walleye,Fry,577760
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2002,Walleye,Fry,609160
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2002,Walleye,Fry,588700
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2002,Walleye,Fry,979395
PICKEREL CREEK WILDLIFE AREA,NULL,NULL,3200,1998,Channel Catfish,Yearling,207
ROCKY FORK LAKE,-83.439915,39.185034,1953,2002,Saugeye,Fingerlings,302064
OUTHWAITE RESERVOIR,-82.935716,40.835628,148,2002,Saugeye,Fingerlings,27342
RILEY RESERVOIR,-82.933241,40.827245,31,2002,Saugeye,Fingerlings,6510
AMICK RESERVOIR,-82.822681,40.703148,53,2002,Saugeye,Fingerlings,10416
METZGER RESERVOIR,-84.055351,40.741409,157,2002,Saugeye,Fingerlings,18228
LOST CREEK RESERVOIR,-84.067431,40.744618,131,2002,Saugeye,Fingerlings,15624
COWAN LAKE,-83.924930,39.388295,694,2002,Saugeye,Fingerlings,101556
VAN WERT RESERVOIR #1,-84.579849,40.849321,61,2002,Saugeye,Fingerlings,7812
VAN WERT RESERVOIR #2 OLD (pre 2007),-84.575654,40.844017,61,2002,Saugeye,Fingerlings,7812
DELTA RESERVOIR #2,-84.013367,41.591180,52,2002,Saugeye,Fingerlings,10416
DELTA RESERVOIR #2,-84.013367,41.591180,52,1998,Channel Catfish,Yearling,1760
PAULDING RESERVOIR,-84.591437,41.124255,67,2002,Saugeye,Fingerlings,13020
WAUSEON RESERVOIR #2,-84.149402,41.511667,50,2002,Saugeye,Fingerlings,9114
WAUSEON RESERVOIR #1,-84.151879,41.511738,11,2002,Saugeye,Fingerlings,2604
ARCHBOLD RESERVOIR #1,-84.295251,41.520148,20,2002,Saugeye,Fingerlings,3906
ARCHBOLD RESERVOIR #2,-84.289382,41.518929,43,2002,Saugeye,Fingerlings,9114
LAKE LORAMIE,-84.362362,40.363606,869,2002,Saugeye,Fingerlings,163176
EASTWOOD LAKE,-84.145686,39.782494,196,2002,Saugeye,Fingerlings,20835
INDIAN LAKE,-83.875493,40.467488,5036,2002,Saugeye,Fingerlings,228273
BELLEVUE RESERVOIR #5,-82.776295,41.211745,85,2002,Saugeye,Fingerlings,9260
RACCOON CREEK RESERVOIR,-82.976303,41.287540,36,2002,Saugeye,Fingerlings,4630
MAUMEE BAY STATE PARK POND,-83.374627,41.680752,50,1998,Channel Catfish,Yearling,2587
VETS MEMORIAL RESERVOIR,-83.455482,41.133320,157,2002,Saugeye,Fingerlings,13890
LAKE LECOMTE,-83.447149,41.115821,137,2002,Saugeye,Fingerlings,13890
OTTAWA RESERVOIR,-84.021753,41.014453,20,2002,Saugeye,Fingerlings,2315
NORTH BALTIMORE RESERVOIR,-83.672003,41.172340,20,2002,Saugeye,Fingerlings,2315
LIMA LAKE,-84.050626,40.757473,87,2002,Saugeye,Fingerlings,9260
MCCOMB RESERVOIR #2,-83.779104,41.106120,20,2002,Saugeye,Fingerlings,2315
NORWALK RESERVOIR #3,-82.590454,41.234447,92,2002,Walleye,Fingerlings,10555
NEW LONDON RESERVOIR,-82.419436,41.066138,212,2002,Walleye,Fingerlings,23028
WILLARD RESERVOIR,-82.665177,41.057248,199,2002,Walleye,Fingerlings,20150
SHELBY RESERVOIR #3,-82.652779,40.909478,51,2002,Walleye,Fingerlings,5757
WILLARD RESERVOIR,-82.665177,41.057248,199,1998,Channel Catfish,Yearling,6905
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2002,Walleye,Fingerlings,175647
GRAND LAKE ST. MARYS,-84.574374,40.534790,12896,2002,Walleye,Fingerlings,204442
BRESLER RESERVOIR,-84.229082,40.730660,582,2002,Yellow Perch,Fingerlings,157608
KILLDEER RESERVOIR,-83.384538,40.705486,251,2002,Walleye,Fingerlings,28518
FINDLAY RESERVOIR #1,-83.565485,41.008315,186,2002,Yellow Perch,Fingerlings,94473
FINDLAY RESERVOIR #1,-83.565485,41.008315,186,2002,Walleye,Fingerlings,20370
BRESLER RESERVOIR,-84.229082,40.730660,582,2002,Walleye,Fingerlings,61110
